4358,4361
4358,4486
4358,4492
4358,6539
4424,4303
4424,4359
4424,4364
4424,4490
4424,4493
4424,4506
4424,6680
8155,8134
8924,8890
8924,8897
8924,8906
8924,8913
8924,10020
8924,10027
10017,10025
10274,10243
10274,10244
10274,10245
10274,10256
10274,11526
10284,10232
10286,10230
10286,10247
11200,11197
11200,11203
11200,11204
11318,11639
11755,11773
11755,11783
11823,11846
11823,12439
11823,12444
11824,11846
11824,11863
11824,12439
11824,12441
11824,12445
12300,12343
12300,12347
12300,12349
12300,12350
12300,12367
12300,12368
12300,12369
12300,12375
12300,12376
12300,12377
12300,12378
12300,12379
12300,12380
12300,12382
12300,12386
12300,12387
12300,12388
12300,12390
12300,12391
12300,12394
12300,12395
12300,12396
12300,12397
12300,12904
12300,12910
12891,12894
12891,12895
12892,12895
12892,12896
12988,12961
12988,12962
12988,12963
12988,12964
12988,12965
12988,12966
12988,12967
12988,12968
12988,12969
12988,12970
12988,12971
12988,12972
12988,12973
12988,12974
12988,12976
12988,16802
12989,12975
12989,12979
12989,12980
12989,16795
12990,12980
12990,12981
12990,12982
12990,16791
12990,16805
12991,12983
12991,12984
12991,16786
12991,16800
12992,12985
12992,12986
12995,12977
12995,16787
12995,16794
12995,16803
13124,13128
13125,13129
13170,17350
13170,17352
13170,17612
13170,17613
13170,17626
13173,15015
13347,13348
13366,13419
13366,13420
13371,15187
13376,13353
13376,13355
13376,13356
13376,13378
13376,15712
13376,15714
13376,15854
13376,15865
13377,13353
13377,13355
13377,13356
13377,13378
13377,15708
13377,15709
13377,15710
13377,15711
13377,15712
13377,15714
13377,15715
13377,15857
13377,15865
13377,15866
13377,15867
13377,15868
13400,15106
13400,15108
13400,15110
13400,15111
13406,13420
13406,15342
13407,13420
13408,13365
13408,13405
13408,13466
13413,13405
13413,13421
13413,13465
13413,13466
13413,15014
13414,13365
13414,13446
13414,13465
13414,15014
13415,13353
13415,13355
13415,13356
13415,15710
13415,15712
13415,15713
13415,15715
13415,15716
13415,15857
13415,15869
13415,15870
13422,13419
13422,13420
13447,13420
13447,15521
13479,13365
13479,13405
13479,13466
13480,13419
